timestamp_reposicion,categoria_producto,ubicacion_mueble,cantidad_repuesta,etiqueta_reposicion
2024-12-26 11:35:00,Lacteos,118,114,1
2025-01-30 18:10:00,Enlatados,117,0,0
2025-07-23 15:27:00,Lacteos,114,55,1
2024-12-10 09:54:00,Condimentos,105,0,0
2025-07-13 16:52:00,Limpieza,116,0,0
2025-03-07 13:35:00,Panaderia,107,142,1
2025-05-07 14:41:00,Bebidas_Gaseosas,114,119,1
2025-09-06 13:42:00,Enlatados,110,34,1
2025-05-20 14:19:00,Panaderia,119,50,1
2025-07-20 17:56:00,Bebidas_Gaseosas,114,0,0
2024-12-13 10:01:00,Congelados,110,0,0
2025-03-15 15:16:00,Limpieza,105,41,1
2025-02-10 15:45:00,Congelados,119,13,1
2025-02-10 08:58:00,Lacteos,109,72,1
2025-02-16 10:21:00,Frutas_Verduras,119,55,1
2025-06-25 11:45:00,Congelados,116,0,0
2025-03-15 09:17:00,Congelados,102,0,0
2025-02-04 19:14:00,Enlatados,119,42,1
2025-05-11 13:22:00,Enlatados,120,0,0
2025-03-18 13:27:00,Congelados,117,22,1
2025-02-21 15:35:00,Limpieza,113,0,0
2024-11-29 15:48:00,Frutas_Verduras,108,0,0
2025-01-08 15:49:00,Condimentos,110,10,1
2025-09-12 09:34:00,Enlatados,119,44,1
2025-03-22 12:48:00,Condimentos,107,0,0
2024-11-30 14:35:00,Congelados,108,24,1
2025-01-28 17:49:00,Panaderia,116,112,1
2025-01-13 10:31:00,Frutas_Verduras,118,46,1
2025-01-11 10:16:00,Panaderia,101,143,1
2025-01-17 15:43:00,Lacteos,113,53,1
2025-01-01 11:09:00,Panaderia,102,84,1
2025-01-13 09:59:00,Enlatados,120,0,0
2025-07-10 17:38:00,Congelados,110,0,0
2025-09-09 08:03:00,Congelados,103,0,0
2024-12-14 16:02:00,Condimentos,110,0,0
2025-01-10 09:06:00,Lacteos,104,116,1
2025-06-29 16:54:00,Congelados,104,0,0
2025-01-19 13:08:00,Enlatados,105,21,1
2025-04-30 18:07:00,Lacteos,110,122,1
2025-11-17 12:18:00,Congelados,106,0,0
2025-02-20 09:37:00,Bebidas_Gaseosas,112,116,1
2025-04-16 18:52:00,Limpieza,103,0,0
2025-06-17 14:18:00,Enlatados,119,60,1
2024-12-14 12:39:00,Enlatados,120,29,1
2025-04-15 10:37:00,Enlatados,103,0,0
2025-04-25 13:10:00,Limpieza,111,0,0
2025-05-02 15:50:00,Bebidas_Gaseosas,108,147,1
2025-09-26 18:05:00,Enlatados,108,0,0
2025-07-31 19:57:00,Bebidas_Gaseosas,115,0,0
2025-04-11 08:33:00,Bebidas_Gaseosas,104,105,1
2025-01-06 19:06:00,Limpieza,117,0,0
2025-03-12 16:20:00,Enlatados,102,35,1
2025-05-17 09:40:00,Limpieza,118,0,0
2025-06-17 09:45:00,Lacteos,109,107,1
2025-08-27 16:25:00,Limpieza,104,0,0
2025-06-28 12:15:00,Panaderia,108,59,1
2025-01-09 08:09:00,Condimentos,105,24,1
2025-01-23 16:22:00,Bebidas_Gaseosas,116,65,1
2025-08-15 19:49:00,Condimentos,113,13,1
2025-01-31 15:12:00,Panaderia,114,119,1
2025-08-13 10:30:00,Limpieza,105,0,0
2025-03-22 12:14:00,Congelados,111,0,0
2025-01-31 14:12:00,Panaderia,114,121,1
2025-02-19 14:25:00,Frutas_Verduras,109,47,1
2025-04-20 17:18:00,Enlatados,106,63,1
2025-07-12 13:06:00,Condimentos,102,0,0
2025-05-16 16:39:00,Limpieza,119,38,1
2025-03-24 10:21:00,Lacteos,118,113,1
2025-03-10 09:28:00,Bebidas_Gaseosas,107,0,0
2025-01-01 13:08:00,Bebidas_Gaseosas,101,53,1
2025-11-06 14:25:00,Frutas_Verduras,111,46,1
2025-07-23 18:18:00,Limpieza,113,58,1
2025-05-11 15:56:00,Congelados,105,0,0
2025-05-03 09:49:00,Frutas_Verduras,106,55,1
2025-05-17 13:20:00,Congelados,106,28,1
2025-05-08 15:25:00,Enlatados,106,0,0
2025-08-12 15:09:00,Condimentos,106,0,0
2024-12-02 10:14:00,Panaderia,112,98,1
2025-05-15 18:53:00,Frutas_Verduras,106,0,0
2025-10-20 11:39:00,Congelados,102,20,1
2025-09-01 18:47:00,Lacteos,117,64,1
2025-04-12 19:50:00,Frutas_Verduras,110,50,1
2025-01-19 10:32:00,Lacteos,115,103,1
2025-10-01 13:34:00,Panaderia,117,127,1
2025-07-04 14:05:00,Enlatados,112,42,1
2025-05-17 18:55:00,Panaderia,110,116,1
2025-08-14 18:04:00,Frutas_Verduras,111,23,1
2025-03-21 17:43:00,Condimentos,114,27,1
2025-08-03 17:53:00,Frutas_Verduras,109,47,1
2024-12-29 10:45:00,Congelados,116,0,0
2025-03-20 19:58:00,Congelados,102,18,1
2025-07-27 18:04:00,Congelados,102,19,1
2025-07-20 18:21:00,Congelados,101,0,0
2025-02-17 15:46:00,Congelados,117,0,0
2025-08-06 08:55:00,Frutas_Verduras,117,24,1
2024-12-08 15:27:00,Congelados,118,0,0
2025-08-19 18:15:00,Panaderia,113,117,1
2025-03-16 17:22:00,Enlatados,105,20,1
2025-05-30 08:15:00,Congelados,117,9,1
2025-07-22 15:23:00,Bebidas_Gaseosas,116,130,1
2025-10-11 09:23:00,Condimentos,102,0,0
2025-04-09 12:41:00,Limpieza,108,43,1
2025-02-12 12:29:00,Frutas_Verduras,110,23,1
2025-09-11 13:20:00,Congelados,102,0,0
2025-08-18 11:42:00,Limpieza,101,0,0
2025-04-22 11:20:00,Congelados,116,0,0
2025-02-18 11:39:00,Panaderia,101,0,0
2025-09-25 14:14:00,Panaderia,120,80,1
2025-01-16 15:46:00,Condimentos,117,0,0
2025-08-07 08:40:00,Limpieza,116,0,0
2025-02-17 09:51:00,Congelados,101,10,1
2025-10-31 11:59:00,Limpieza,110,44,1
2025-08-25 10:25:00,Bebidas_Gaseosas,116,70,1
2025-02-03 13:09:00,Lacteos,106,69,1
2025-07-07 10:47:00,Enlatados,120,61,1
2025-06-19 13:51:00,Condimentos,111,21,1
2025-01-22 16:07:00,Panaderia,112,135,1
2025-09-25 16:09:00,Condimentos,108,0,0
2025-07-30 08:09:00,Condimentos,114,0,0
2025-03-09 13:15:00,Frutas_Verduras,104,0,0
2025-08-20 08:21:00,Frutas_Verduras,117,0,0
2025-08-22 18:19:00,Bebidas_Gaseosas,117,134,1
2025-09-09 11:19:00,Congelados,106,0,0
2025-01-14 18:59:00,Enlatados,109,0,0
2025-10-09 18:55:00,Bebidas_Gaseosas,112,96,1
2025-06-23 08:56:00,Congelados,115,0,0
2025-09-16 16:50:00,Panaderia,105,66,1
2025-07-03 17:49:00,Panaderia,119,126,1
2024-11-20 13:47:00,Lacteos,102,0,0
2025-09-04 16:42:00,Condimentos,111,0,0
2024-12-21 17:01:00,Frutas_Verduras,102,0,0
2025-07-12 16:26:00,Congelados,115,18,1
2025-06-30 15:18:00,Bebidas_Gaseosas,105,75,1
2025-07-22 18:23:00,Congelados,112,0,0
2025-05-17 18:58:00,Condimentos,110,22,1
2024-12-26 14:47:00,Lacteos,109,55,1
2025-04-07 18:30:00,Condimentos,117,16,1
2025-04-04 11:43:00,Enlatados,107,56,1
2025-07-31 12:39:00,Congelados,114,0,0
2025-11-03 16:03:00,Lacteos,120,146,1
2024-12-24 13:31:00,Bebidas_Gaseosas,115,56,1
2025-07-08 16:24:00,Congelados,106,19,1
2025-02-08 14:01:00,Congelados,109,9,1
2025-07-25 09:44:00,Bebidas_Gaseosas,107,143,1
2025-07-12 16:32:00,Limpieza,107,44,1
2025-02-27 08:55:00,Bebidas_Gaseosas,119,146,1
2025-02-15 16:51:00,Lacteos,112,99,1
2024-11-25 19:21:00,Condimentos,113,0,0
2025-05-27 09:09:00,Bebidas_Gaseosas,106,0,0
2025-03-11 13:51:00,Limpieza,101,0,0
2025-06-27 09:20:00,Frutas_Verduras,120,49,1
2025-04-23 08:20:00,Lacteos,106,142,1
2025-05-13 17:55:00,Limpieza,116,0,0
2024-12-12 12:43:00,Panaderia,113,0,0
2024-12-28 15:35:00,Limpieza,105,69,1
2025-09-23 09:17:00,Enlatados,105,0,0
2025-08-20 18:01:00,Lacteos,101,54,1
2025-04-03 09:29:00,Lacteos,113,0,0
2025-11-17 17:45:00,Condimentos,113,0,0
2025-09-16 09:20:00,Limpieza,105,0,0
2025-07-15 13:58:00,Frutas_Verduras,107,0,0
2025-08-26 11:19:00,Condimentos,116,0,0
2025-04-05 08:16:00,Congelados,119,0,0
2025-02-10 13:45:00,Lacteos,114,144,1
2025-03-12 19:48:00,Condimentos,117,0,0
2025-05-16 14:20:00,Lacteos,113,62,1
2025-01-13 09:21:00,Panaderia,107,141,1
2025-06-05 16:55:00,Lacteos,112,127,1
2024-11-30 16:56:00,Enlatados,105,0,0
2025-06-20 14:18:00,Panaderia,106,69,1
2025-11-12 10:06:00,Lacteos,119,122,1
2025-02-11 13:46:00,Condimentos,120,0,0
2024-12-24 11:52:00,Enlatados,118,31,1
2025-02-13 16:08:00,Congelados,120,0,0
2025-02-05 18:33:00,Bebidas_Gaseosas,103,105,1
2025-02-18 15:07:00,Bebidas_Gaseosas,103,63,1
2025-02-11 14:15:00,Lacteos,109,66,1
2025-08-13 15:59:00,Frutas_Verduras,110,0,0
2025-01-08 12:38:00,Condimentos,117,0,0
2025-03-23 17:17:00,Enlatados,101,0,0
2025-05-21 13:35:00,Panaderia,111,142,1
2025-10-20 13:11:00,Panaderia,105,62,1
2025-08-02 12:12:00,Condimentos,117,0,0
2025-08-11 19:59:00,Bebidas_Gaseosas,102,71,1
2025-08-30 14:01:00,Lacteos,113,53,1
2025-09-12 10:18:00,Lacteos,119,56,1
2025-06-23 17:09:00,Lacteos,112,128,1
2024-12-31 19:04:00,Congelados,117,14,1
2025-01-08 08:00:00,Enlatados,113,0,0
2025-06-30 15:59:00,Panaderia,112,140,1
2024-12-02 16:34:00,Limpieza,108,27,1
2025-01-01 13:59:00,Bebidas_Gaseosas,104,137,1
2024-12-02 18:27:00,Limpieza,118,35,1
2025-03-09 09:46:00,Bebidas_Gaseosas,120,56,1
2025-04-17 16:30:00,Limpieza,106,0,0
2025-09-17 13:10:00,Condimentos,110,24,1
2025-08-18 08:29:00,Limpieza,119,0,0
2025-09-14 18:55:00,Panaderia,103,74,1
2025-04-22 16:32:00,Condimentos,120,0,0
2025-01-01 11:54:00,Congelados,114,0,0
2024-11-25 09:46:00,Bebidas_Gaseosas,106,71,1
2024-11-23 17:19:00,Condimentos,102,21,1
2025-02-21 16:59:00,Frutas_Verduras,109,41,1
2024-12-04 16:40:00,Limpieza,108,0,0
2025-01-01 14:43:00,Frutas_Verduras,106,40,1
2025-07-12 18:45:00,Congelados,102,0,0
2025-08-29 12:35:00,Congelados,111,21,1
2024-12-05 14:42:00,Limpieza,105,51,1
2025-07-25 13:37:00,Lacteos,115,144,1
2024-12-07 12:05:00,Frutas_Verduras,110,59,1
2024-12-26 10:43:00,Panaderia,120,140,1
2025-08-31 19:11:00,Frutas_Verduras,117,51,1
2025-01-25 11:18:00,Bebidas_Gaseosas,109,110,1
2025-05-20 17:21:00,Bebidas_Gaseosas,101,0,0
2025-05-07 18:09:00,Lacteos,118,58,1
2025-03-09 18:29:00,Bebidas_Gaseosas,103,0,0
2025-01-16 11:18:00,Limpieza,114,32,1
2025-05-14 12:46:00,Congelados,104,0,0
2025-03-20 10:41:00,Lacteos,109,132,1
2025-07-25 17:42:00,Frutas_Verduras,103,31,1
2024-12-13 10:37:00,Bebidas_Gaseosas,119,87,1
2025-06-19 15:48:00,Congelados,110,0,0
2025-01-04 16:21:00,Bebidas_Gaseosas,110,55,1
2025-03-24 18:59:00,Enlatados,105,0,0
2024-11-29 08:55:00,Enlatados,103,68,1
2025-07-31 15:26:00,Frutas_Verduras,105,28,1
2025-09-12 10:05:00,Congelados,117,5,1
2025-01-22 09:26:00,Panaderia,116,0,0
2025-07-04 17:19:00,Panaderia,115,121,1
2025-07-27 19:43:00,Panaderia,103,147,1
2025-09-11 08:15:00,Condimentos,115,11,1
2025-09-27 08:00:00,Congelados,118,0,0
2025-03-31 09:44:00,Frutas_Verduras,105,65,1
2025-03-30 17:03:00,Bebidas_Gaseosas,109,54,1
2025-09-20 18:10:00,Limpieza,110,56,1
2025-05-01 19:10:00,Frutas_Verduras,112,40,1
2025-10-19 10:42:00,Bebidas_Gaseosas,117,0,0
2024-12-29 18:55:00,Congelados,120,0,0
2025-07-16 14:39:00,Limpieza,109,63,1
2025-08-25 12:10:00,Condimentos,110,0,0
2025-04-19 14:39:00,Congelados,107,0,0
2024-11-24 11:13:00,Condimentos,105,0,0
2025-10-10 12:59:00,Enlatados,103,39,1
2025-02-23 13:11:00,Limpieza,109,0,0
2025-05-15 10:21:00,Condimentos,109,0,0
2025-02-02 16:45:00,Frutas_Verduras,120,0,0
2024-12-17 19:00:00,Condimentos,101,0,0
2025-09-03 14:18:00,Condimentos,120,0,0
2025-09-26 11:55:00,Condimentos,114,0,0
2024-12-30 17:57:00,Bebidas_Gaseosas,115,120,1
2025-05-29 08:49:00,Bebidas_Gaseosas,116,0,0
2025-05-31 08:00:00,Frutas_Verduras,109,25,1
2025-07-03 16:28:00,Enlatados,112,30,1
2025-01-14 17:11:00,Limpieza,107,60,1
2025-07-14 17:50:00,Enlatados,105,28,1
2025-06-10 17:32:00,Enlatados,111,0,0
2025-02-18 08:21:00,Condimentos,103,20,1
2025-03-07 12:33:00,Lacteos,115,88,1
2025-06-25 17:53:00,Panaderia,116,0,0
2025-05-04 10:04:00,Frutas_Verduras,119,49,1
2025-03-13 15:21:00,Limpieza,119,0,0
2025-10-12 12:17:00,Bebidas_Gaseosas,101,0,0
2025-01-20 18:53:00,Lacteos,120,124,1
2025-08-10 15:23:00,Frutas_Verduras,110,49,1
2025-01-06 10:08:00,Lacteos,110,92,1
2025-07-15 17:36:00,Condimentos,110,0,0
2025-06-26 18:34:00,Lacteos,104,51,1
2025-06-19 13:49:00,Lacteos,120,136,1
2025-03-30 18:40:00,Panaderia,114,61,1
2025-11-10 10:49:00,Congelados,101,24,1
2025-05-18 18:12:00,Enlatados,110,23,1
2024-12-19 13:41:00,Bebidas_Gaseosas,103,71,1
2025-10-31 12:17:00,Frutas_Verduras,115,65,1
2025-01-25 16:53:00,Panaderia,114,140,1
2025-03-15 10:20:00,Bebidas_Gaseosas,120,80,1
2025-06-09 15:40:00,Congelados,101,0,0
2025-05-06 18:24:00,Enlatados,102,0,0
2025-02-15 16:33:00,Condimentos,104,0,0
2025-07-02 17:56:00,Limpieza,106,0,0
2024-11-20 16:06:00,Lacteos,104,0,0
2025-08-13 14:17:00,Enlatados,108,0,0
2025-05-05 14:06:00,Frutas_Verduras,104,29,1
2025-03-14 14:14:00,Panaderia,102,50,1
2025-08-09 14:20:00,Condimentos,108,0,0
2025-09-24 11:16:00,Enlatados,109,0,0
2025-07-10 12:43:00,Enlatados,117,20,1
2025-05-07 15:24:00,Congelados,106,21,1
2025-02-05 11:24:00,Congelados,103,9,1
2025-10-28 14:28:00,Panaderia,115,52,1
2024-11-26 08:38:00,Bebidas_Gaseosas,106,105,1
2024-11-20 19:32:00,Lacteos,120,87,1
2025-06-13 16:07:00,Condimentos,105,5,1
2025-10-10 17:28:00,Panaderia,104,0,0
2025-03-07 09:03:00,Enlatados,109,44,1
2025-07-18 09:44:00,Panaderia,118,107,1
2025-11-03 11:58:00,Congelados,117,18,1
2025-04-04 13:02:00,Panaderia,118,102,1
2024-12-28 18:37:00,Bebidas_Gaseosas,110,138,1
2024-12-13 14:18:00,Panaderia,108,123,1
2025-05-10 08:08:00,Frutas_Verduras,110,0,0
2025-04-09 08:23:00,Bebidas_Gaseosas,101,58,1
2025-07-14 16:48:00,Condimentos,113,21,1
2025-02-18 08:50:00,Frutas_Verduras,103,0,0
2025-07-26 09:01:00,Bebidas_Gaseosas,102,0,0
2025-06-26 16:43:00,Panaderia,113,95,1
2025-02-16 13:51:00,Condimentos,119,0,0
2025-03-17 09:33:00,Frutas_Verduras,105,0,0
2025-01-24 14:50:00,Limpieza,113,47,1
2024-12-04 16:13:00,Condimentos,117,0,0
2025-11-10 10:55:00,Condimentos,118,0,0
2025-08-11 11:29:00,Bebidas_Gaseosas,113,66,1
2024-12-15 08:13:00,Enlatados,113,0,0
2025-04-11 09:26:00,Congelados,108,0,0
2025-04-25 11:47:00,Limpieza,117,0,0
2025-06-18 09:18:00,Lacteos,119,52,1
2024-12-15 12:41:00,Bebidas_Gaseosas,114,75,1
2025-08-29 19:07:00,Bebidas_Gaseosas,110,134,1
2025-11-11 15:15:00,Lacteos,114,61,1
2025-05-18 15:20:00,Bebidas_Gaseosas,118,75,1
2025-01-11 17:24:00,Enlatados,118,23,1
2025-03-12 14:53:00,Panaderia,108,65,1
2024-12-08 10:17:00,Lacteos,105,127,1
2025-07-27 08:51:00,Congelados,112,14,1
2025-08-28 15:39:00,Condimentos,113,26,1
2024-12-04 18:53:00,Limpieza,106,26,1
2025-04-25 14:44:00,Limpieza,118,27,1
2025-09-19 09:05:00,Frutas_Verduras,117,0,0
2025-10-30 14:11:00,Frutas_Verduras,103,55,1
2025-05-11 08:20:00,Bebidas_Gaseosas,119,113,1
2025-07-31 11:24:00,Enlatados,119,0,0
2025-06-01 11:00:00,Enlatados,113,66,1
2025-10-04 17:31:00,Frutas_Verduras,109,59,1
2025-03-09 09:58:00,Lacteos,103,0,0
2025-11-19 17:45:00,Frutas_Verduras,107,0,0
2025-08-07 12:26:00,Panaderia,104,113,1
2025-02-24 12:50:00,Congelados,112,24,1
2025-02-04 13:01:00,Bebidas_Gaseosas,107,123,1
2025-08-01 14:35:00,Lacteos,102,75,1
2025-06-21 13:38:00,Condimentos,103,6,1
2025-01-09 11:18:00,Limpieza,106,0,0
2025-02-14 14:43:00,Frutas_Verduras,105,65,1
2025-07-11 16:22:00,Congelados,113,9,1
2025-05-11 08:08:00,Condimentos,117,24,1
2025-08-16 16:06:00,Congelados,119,14,1
2025-10-09 16:37:00,Bebidas_Gaseosas,118,112,1
2024-12-29 19:07:00,Bebidas_Gaseosas,111,120,1
2025-02-22 18:08:00,Limpieza,119,0,0
2025-07-17 15:49:00,Bebidas_Gaseosas,119,0,0
2024-12-06 17:57:00,Congelados,103,9,1
2025-01-19 12:36:00,Lacteos,118,146,1
2025-08-23 11:17:00,Limpieza,107,45,1
2025-07-01 08:18:00,Panaderia,110,59,1
2025-07-10 13:40:00,Limpieza,119,39,1
2025-04-15 08:23:00,Panaderia,104,121,1
2025-02-09 19:35:00,Bebidas_Gaseosas,101,114,1
2025-07-05 17:56:00,Bebidas_Gaseosas,106,103,1
2025-09-02 12:01:00,Condimentos,119,28,1
2025-05-19 16:19:00,Lacteos,104,141,1
2025-07-07 15:02:00,Frutas_Verduras,115,54,1
2025-11-07 15:06:00,Enlatados,109,0,0
2025-08-31 15:36:00,Frutas_Verduras,120,33,1
2025-07-12 14:40:00,Bebidas_Gaseosas,116,107,1
2025-04-25 08:30:00,Limpieza,104,0,0
2025-10-08 18:05:00,Panaderia,113,124,1
2025-09-10 09:25:00,Frutas_Verduras,117,0,0
2025-01-05 14:25:00,Bebidas_Gaseosas,109,140,1
2025-08-15 15:58:00,Panaderia,114,142,1
2025-04-11 09:16:00,Condimentos,120,15,1
2025-08-06 15:52:00,Enlatados,115,64,1
2025-10-27 17:44:00,Condimentos,116,0,0
2025-10-29 12:11:00,Lacteos,103,145,1
2025-02-01 09:56:00,Bebidas_Gaseosas,101,138,1
2024-12-25 18:01:00,Enlatados,115,0,0
2024-12-26 08:29:00,Frutas_Verduras,115,0,0
2025-10-27 13:13:00,Panaderia,111,0,0
2025-02-20 11:52:00,Enlatados,110,0,0
2025-01-10 14:25:00,Frutas_Verduras,102,40,1
2025-03-02 17:30:00,Condimentos,104,0,0
2025-05-30 18:48:00,Condimentos,116,0,0
2025-08-23 14:55:00,Congelados,108,0,0
2025-02-27 11:03:00,Panaderia,109,145,1
2025-09-04 13:36:00,Congelados,119,0,0
2025-04-07 19:20:00,Panaderia,103,147,1
2025-11-12 14:19:00,Limpieza,107,0,0
2025-07-12 10:33:00,Congelados,105,22,1
2025-10-18 13:38:00,Congelados,113,14,1
2024-11-26 15:57:00,Bebidas_Gaseosas,109,87,1
2025-01-17 12:46:00,Frutas_Verduras,102,43,1
2025-06-13 19:54:00,Panaderia,114,100,1
2025-09-07 09:04:00,Limpieza,118,23,1
2025-08-20 19:04:00,Frutas_Verduras,110,0,0
2025-06-27 18:38:00,Bebidas_Gaseosas,115,0,0
2025-07-09 19:27:00,Congelados,108,8,1
2025-03-01 09:18:00,Panaderia,103,113,1
2024-12-09 09:19:00,Panaderia,104,72,1
2025-07-09 19:20:00,Limpieza,112,53,1
2025-03-04 10:31:00,Limpieza,104,61,1
2025-07-06 16:22:00,Panaderia,102,92,1
2025-10-09 18:05:00,Frutas_Verduras,116,0,0
2025-03-26 11:13:00,Frutas_Verduras,102,45,1
2025-07-06 09:52:00,Lacteos,113,0,0
2024-11-26 18:23:00,Panaderia,114,110,1
2025-09-25 09:01:00,Enlatados,112,52,1
2024-12-10 18:48:00,Limpieza,117,0,0
2025-09-04 14:52:00,Lacteos,113,81,1
2025-03-13 19:12:00,Congelados,105,21,1
2025-01-21 14:02:00,Bebidas_Gaseosas,112,100,1
2025-02-17 13:36:00,Enlatados,101,0,0
2025-07-06 13:55:00,Bebidas_Gaseosas,104,55,1
2025-03-05 13:40:00,Enlatados,118,42,1
2025-07-27 16:40:00,Bebidas_Gaseosas,106,103,1
2025-07-03 08:32:00,Condimentos,104,0,0
2024-12-18 17:57:00,Enlatados,114,20,1
2024-12-25 18:10:00,Bebidas_Gaseosas,107,55,1
2025-10-28 13:28:00,Limpieza,113,0,0
2025-09-15 18:51:00,Frutas_Verduras,120,30,1
2025-07-24 08:20:00,Panaderia,106,69,1
2025-08-09 16:18:00,Lacteos,101,52,1
2025-06-25 16:48:00,Enlatados,108,42,1
2025-08-08 13:37:00,Limpieza,109,49,1
2025-11-16 19:34:00,Lacteos,107,81,1
2025-06-03 10:35:00,Lacteos,114,60,1
2025-02-15 17:19:00,Lacteos,111,75,1
2024-12-27 12:45:00,Bebidas_Gaseosas,109,145,1
2025-04-20 13:36:00,Limpieza,119,62,1
2025-09-03 18:06:00,Condimentos,119,0,0
2025-03-11 13:52:00,Panaderia,120,56,1
2025-03-13 12:42:00,Congelados,116,0,0
2025-04-27 17:44:00,Bebidas_Gaseosas,102,50,1
2025-09-25 18:31:00,Congelados,114,0,0
2025-05-25 18:22:00,Condimentos,104,0,0
2025-07-27 19:07:00,Bebidas_Gaseosas,104,0,0
2025-06-03 16:21:00,Enlatados,103,30,1
2025-05-27 08:24:00,Frutas_Verduras,115,27,1
2025-09-05 15:21:00,Congelados,107,21,1
2025-10-25 12:26:00,Congelados,109,0,0
2025-11-05 11:36:00,Lacteos,104,125,1
2025-04-21 17:12:00,Condimentos,118,0,0
2025-07-01 14:05:00,Lacteos,120,129,1
2024-12-20 18:40:00,Panaderia,103,133,1
2025-06-09 13:24:00,Congelados,115,14,1
2025-01-15 10:19:00,Enlatados,103,0,0
2025-08-07 11:47:00,Frutas_Verduras,115,50,1
2025-01-22 19:36:00,Frutas_Verduras,105,64,1
2025-07-24 19:07:00,Frutas_Verduras,108,49,1
2025-11-15 15:29:00,Enlatados,108,0,0
2025-06-12 16:43:00,Condimentos,104,0,0
2025-09-11 10:57:00,Lacteos,101,97,1
2025-01-11 14:57:00,Limpieza,105,0,0
2025-02-05 11:37:00,Panaderia,119,143,1
2025-10-21 14:44:00,Limpieza,119,20,1
2025-09-15 16:49:00,Condimentos,119,0,0
2025-10-08 17:43:00,Condimentos,116,0,0
2025-01-17 15:29:00,Lacteos,104,125,1
2025-09-27 09:10:00,Limpieza,106,0,0
2025-04-29 11:28:00,Limpieza,108,0,0
2025-05-07 10:59:00,Condimentos,114,0,0
2025-10-23 17:38:00,Enlatados,111,0,0
2025-01-05 09:48:00,Condimentos,109,0,0
2025-02-07 08:36:00,Condimentos,106,0,0
2025-01-06 13:12:00,Bebidas_Gaseosas,113,101,1
2025-05-13 08:32:00,Condimentos,102,0,0
2025-10-29 13:36:00,Frutas_Verduras,108,42,1
2025-09-09 11:12:00,Condimentos,104,0,0
2025-01-17 15:29:00,Condimentos,119,0,0
2025-05-31 18:56:00,Limpieza,108,0,0
2025-03-06 09:13:00,Congelados,109,0,0
2025-08-13 16:46:00,Frutas_Verduras,111,0,0
2025-04-21 13:35:00,Congelados,109,13,1
2025-07-14 14:38:00,Panaderia,109,83,1
2025-09-30 08:24:00,Panaderia,106,110,1
2025-08-26 16:19:00,Lacteos,108,97,1
2025-04-23 08:25:00,Panaderia,116,107,1
2025-03-05 10:37:00,Frutas_Verduras,105,24,1
